course_id,student_id,score,group_no,dept_no
A0000001,2021A0000001,65,10,A
A0000001,2021A0000007,97,10,A
A0000001,2021A0000008,94,10,A
A0000001,2021A0000009,91,10,A
A0000001,2021A0000010,88,10,A
A0000001,2021A0000011,85,10,A
A0000001,2021A0000017,76,10,A
A0000001,2021A0000018,73,10,A
A0000001,2021A0000019,70,10,A
A0000001,2021A0000020,67,10,A
A0000001,2021A0000021,64,10,A
A0000001,2021A0000027,96,10,A
A0000001,2021A0000028,93,10,A
A0000001,2021A0000029,90,10,A
A0000001,2021A0000030,87,10,A
A0000001,2021A0000031,84,10,A
A0000001,2021A0000037,75,10,A
A0000001,2021A0000038,72,10,A
A0000001,2021A0000039,69,10,A
A0000001,2021A0000040,66,10,A
A0000001,2021A0000041,63,10,A
A0000001,2021A0000047,95,10,A
A0000001,2021A0000048,92,10,A
A0000001,2021A0000049,89,10,A
A0000001,2021A0000050,86,10,A
A0000002,2021A0000001,73,10,A
A0000002,2021A0000002,70,10,A
A0000002,2021A0000008,61,10,A
A0000002,2021A0000009,99,10,A
A0000002,2021A0000010,96,10,A
A0000002,2021A0000011,93,10,A
A0000002,2021A0000012,90,10,A
A0000002,2021A0000018,81,10,A
A0000002,2021A0000019,78,10,A
A0000002,2021A0000020,75,10,A
A0000002,2021A0000021,72,10,A
A0000002,2021A0000022,69,10,A
A0000002,2021A0000028,60,10,A
A0000002,2021A0000029,98,10,A
A0000002,2021A0000030,95,10,A
A0000002,2021A0000031,92,10,A
A0000002,2021A0000032,89,10,A
A0000002,2021A0000038,80,10,A
A0000002,2021A0000039,77,10,A
A0000002,2021A0000040,74,10,A
A0000002,2021A0000041,71,10,A
A0000002,2021A0000042,68,10,A
A0000002,2021A0000048,100,10,A
A0000002,2021A0000049,97,10,A
A0000002,2021A0000050,94,10,A
A0000003,2021A0000001,81,10,A
A0000003,2021A0000002,78,10,A
A0000003,2021A0000003,75,10,A
A0000003,2021A0000009,66,10,A
A0000003,2021A0000010,63,10,A
A0000003,2021A0000011,60,10,A
A0000003,2021A0000012,98,10,A
A0000003,2021A0000013,95,10,A
A0000003,2021A0000019,86,10,A
A0000003,2021A0000020,83,10,A
A0000003,2021A0000021,80,10,A
A0000003,2021A0000022,77,10,A
A0000003,2021A0000023,74,10,A
A0000003,2021A0000029,65,10,A
A0000003,2021A0000030,62,10,A
A0000003,2021A0000031,100,10,A
A0000003,2021A0000032,97,10,A
A0000003,2021A0000033,94,10,A
A0000003,2021A0000039,85,10,A
A0000003,2021A0000040,82,10,A
A0000003,2021A0000041,79,10,A
A0000003,2021A0000042,76,10,A
A0000003,2021A0000043,73,10,A
A0000003,2021A0000049,64,10,A
A0000003,2021A0000050,61,10,A
A0000004,2021A0000001,89,10,A
A0000004,2021A0000002,86,10,A
A0000004,2021A0000003,83,10,A
A0000004,2021A0000004,80,10,A
A0000004,2021A0000010,71,10,A
A0000004,2021A0000011,68,10,A
A0000004,2021A0000012,65,10,A
A0000004,2021A0000013,62,10,A
A0000004,2021A0000014,100,10,A
A0000004,2021A0000020,91,10,A
A0000004,2021A0000021,88,10,A
A0000004,2021A0000022,85,10,A
A0000004,2021A0000023,82,10,A
A0000004,2021A0000024,79,10,A
A0000004,2021A0000030,70,10,A
A0000004,2021A0000031,67,10,A
A0000004,2021A0000032,64,10,A
A0000004,2021A0000033,61,10,A
A0000004,2021A0000034,99,10,A
A0000004,2021A0000040,90,10,A
A0000004,2021A0000041,87,10,A
A0000004,2021A0000042,84,10,A
A0000004,2021A0000043,81,10,A
A0000004,2021A0000044,78,10,A
A0000004,2021A0000050,69,10,A
A0000005,2021A0000001,97,10,A
A0000005,2021A0000002,94,10,A
A0000005,2021A0000003,91,10,A
A0000005,2021A0000004,88,10,A
A0000005,2021A0000005,85,10,A
A0000005,2021A0000011,76,10,A
A0000005,2021A0000012,73,10,A
A0000005,2021A0000013,70,10,A
A0000005,2021A0000014,67,10,A
A0000005,2021A0000015,64,10,A
A0000005,2021A0000021,96,10,A
A0000005,2021A0000022,93,10,A
A0000005,2021A0000023,90,10,A
A0000005,2021A0000024,87,10,A
A0000005,2021A0000025,84,10,A
A0000005,2021A0000031,75,10,A
A0000005,2021A0000032,72,10,A
A0000005,2021A0000033,69,10,A
A0000005,2021A0000034,66,10,A
A0000005,2021A0000035,63,10,A
A0000005,2021A0000041,95,10,A
A0000005,2021A0000042,92,10,A
A0000005,2021A0000043,89,10,A
A0000005,2021A0000044,86,10,A
A0000005,2021A0000045,83,10,A
A0000006,2021A0000002,61,10,A
A0000006,2021A0000003,99,10,A
A0000006,2021A0000004,96,10,A
A0000006,2021A0000005,93,10,A
A0000006,2021A0000006,90,10,A
A0000006,2021A0000012,81,10,A
A0000006,2021A0000013,78,10,A
A0000006,2021A0000014,75,10,A
A0000006,2021A0000015,72,10,A
A0000006,2021A0000016,69,10,A
A0000006,2021A0000022,60,10,A
A0000006,2021A0000023,98,10,A
A0000006,2021A0000024,95,10,A
A0000006,2021A0000025,92,10,A
A0000006,2021A0000026,89,10,A
A0000006,2021A0000032,80,10,A
A0000006,2021A0000033,77,10,A
A0000006,2021A0000034,74,10,A
A0000006,2021A0000035,71,10,A
A0000006,2021A0000036,68,10,A
A0000006,2021A0000042,100,10,A
A0000006,2021A0000043,97,10,A
A0000006,2021A0000044,94,10,A
A0000006,2021A0000045,91,10,A
A0000006,2021A0000046,88,10,A
A0000007,2021A0000003,66,10,A
A0000007,2021A0000004,63,10,A
A0000007,2021A0000005,60,10,A
A0000007,2021A0000006,98,10,A
A0000007,2021A0000007,95,10,A
A0000007,2021A0000013,86,10,A
A0000007,2021A0000014,83,10,A
A0000007,2021A0000015,80,10,A
A0000007,2021A0000016,77,10,A
A0000007,2021A0000017,74,10,A
A0000007,2021A0000023,65,10,A
A0000007,2021A0000024,62,10,A
A0000007,2021A0000025,100,10,A
A0000007,2021A0000026,97,10,A
A0000007,2021A0000027,94,10,A
A0000007,2021A0000033,85,10,A
A0000007,2021A0000034,82,10,A
A0000007,2021A0000035,79,10,A
A0000007,2021A0000036,76,10,A
A0000007,2021A0000037,73,10,A
A0000007,2021A0000043,64,10,A
A0000007,2021A0000044,61,10,A
A0000007,2021A0000045,99,10,A
A0000007,2021A0000046,96,10,A
A0000007,2021A0000047,93,10,A
A0000008,2021A0000004,71,10,A
A0000008,2021A0000005,68,10,A
A0000008,2021A0000006,65,10,A
A0000008,2021A0000007,62,10,A
A0000008,2021A0000008,100,10,A
A0000008,2021A0000014,91,10,A
A0000008,2021A0000015,88,10,A
A0000008,2021A0000016,85,10,A
A0000008,2021A0000017,82,10,A
A0000008,2021A0000018,79,10,A
A0000008,2021A0000024,70,10,A
A0000008,2021A0000025,67,10,A
A0000008,2021A0000026,64,10,A
A0000008,2021A0000027,61,10,A
A0000008,2021A0000028,99,10,A
A0000008,2021A0000034,90,10,A
A0000008,2021A0000035,87,10,A
A0000008,2021A0000036,84,10,A
A0000008,2021A0000037,81,10,A
A0000008,2021A0000038,78,10,A
A0000008,2021A0000044,69,10,A
A0000008,2021A0000045,66,10,A
A0000008,2021A0000046,63,10,A
A0000008,2021A0000047,60,10,A
A0000008,2021A0000048,98,10,A
A0000009,2021A0000005,76,10,A
A0000009,2021A0000006,73,10,A
A0000009,2021A0000007,70,10,A
A0000009,2021A0000008,67,10,A
A0000009,2021A0000009,64,10,A
A0000009,2021A0000015,96,10,A
A0000009,2021A0000016,93,10,A
A0000009,2021A0000017,90,10,A
A0000009,2021A0000018,87,10,A
A0000009,2021A0000019,84,10,A
A0000009,2021A0000025,75,10,A
A0000009,2021A0000026,72,10,A
A0000009,2021A0000027,69,10,A
A0000009,2021A0000028,66,10,A
A0000009,2021A0000029,63,10,A
A0000009,2021A0000035,95,10,A
A0000009,2021A0000036,92,10,A
A0000009,2021A0000037,89,10,A
A0000009,2021A0000038,86,10,A
A0000009,2021A0000039,83,10,A
A0000009,2021A0000045,74,10,A
A0000009,2021A0000046,71,10,A
A0000009,2021A0000047,68,10,A
